Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Afghanistan","AFG","0.5(2015)","0.284(2016)","","0.2(2016)","77.40100618(2016)","37.7460320188898(2017)","43.0901755117794(2018)","54.3248975483403(2018)","2.58492693988024(2018)","37172386(2018)","74.505(2018)","9.2(2019)","57.24876048(2016)","2.01351195573807(2013)","550(2018)","43.01972(2018)","54.5(2016)","4.05887(2017)"
Most Recent Value,"(Most Recent Value)","Albania","ALB","2.9(2013)","1.1998(2016)","28.7(2016)","7.5(2016)","57.98090142(2016)","","17.672873724304(2018)","68.5823903647225(2018)","13.7447359109736(2018)","2866376(2018)","39.681(2018)","9(2019)","271.54304258(2016)","4.94539700448513(2012)","4860(2018)","98.14115(2018)","14.3(2012)","3.95464(2016)"
Most Recent Value,"(Most Recent Value)","Algeria","DZA","1.9(2015)","1.83(2016)","15.6(2016)","0.9(2016)","30.88327082(2016)","83.7406026903617(2017)","30.1486785862257(2018)","63.4888248687945(2018)","6.36249654497986(2018)","42228429(2018)","27.371(2018)","6.7(2019)","260.41257932(2016)","","3920(2017)","81.40784(2018)","5.5(2011)",""
Most Recent Value,"(Most Recent Value)","American Samoa","ASM","","","","","","","","","","55465(2018)","12.847(2018)","","","","","","",""
Most Recent Value,"(Most Recent Value)","Andorra","AND","","3.3333(2015)","33.5(2016)","11.3(2016)","41.69688586(2016)","","","","","77006(2018)","11.938(2018)","7.7(2019)","3834.73058142(2016)","","","","","3.19556(2017)"
Most Recent Value,"(Most Recent Value)","Angola","AGO","","0.2149(2017)","","6.4(2016)","35.20893022(2016)","26.6641825709428(2017)","46.8089247095412(2018)","50.9747016426956(2018)","2.21637364776329(2018)","30809762(2018)","34.486(2018)","4.5(2019)","95.22079857(2016)","","3370(2018)","66.03011(2014)","","3.42132(2010)"
Most Recent Value,"(Most Recent Value)","Antigua and Barbuda","ATG","3.8(2014)","2.7647(2017)","","7(2016)","32.18838038(2016)","","22.0810917475022(2018)","69.1190827326922(2018)","8.79982551980558(2018)","96286(2018)","75.401(2018)","13.1(2019)","623.11462593(2016)","","15890(2018)","98.95(2015)","",""
Most Recent Value,"(Most Recent Value)","Argentina","ARG","5(2014)","3.96(2017)","21.8(2016)","9.8(2016)","15.79818747(2016)","","24.7609338351238(2018)","64.1212772887989(2018)","11.1177888760774(2018)","44494502(2018)","8.13(2018)","5.9(2019)","955.2009489(2016)","","12390(2018)","99.00387(2018)","32(2018)","5.50825(2017)"
Most Recent Value,"(Most Recent Value)","Armenia","ARM","4.2(2015)","2.899(2014)","24.1(2016)","5.5(2016)","80.6469544(2016)","94.0429413735251(2017)","20.6334219249969(2018)","68.11276041799(2018)","11.2538176570131(2018)","2951776(2018)","36.851(2018)","6.1(2019)","358.84174796(2016)","4.87132109701634(2013)","4230(2018)","99.73607(2017)","23.5(2018)","2.70545(2017)"
Most Recent Value,"(Most Recent Value)","Aruba","ABW","","","","","","","17.8024469743493(2018)","68.6466058859653(2018)","13.5509471396854(2018)","105845(2018)","56.589(2018)","11.6(2019)","","","23630(2017)","97.80742(2018)","","6.1899(2016)"
