Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Afghanistan","AFG","1734.72321415839(2018)","13.5(2017)","..","1722612.61(2018)","24433.446(2018)","..","9.25046804855966(2017)","2(2018)","37(2017)"
Most Recent Value,"(Most Recent Value)","Albania","ALB","12316.0715010455(2018)","71.8470405043844(2017)","..","303137(2018)","2935(2018)","80.7355748396923(2016)","18.6121797172505(2018)","..","59(2017)"
Most Recent Value,"(Most Recent Value)","Algeria","DZA","13737.3560625058(2018)","49.0384680793271(2018)","1550(2017)","6442442(2018)","77463(2018)","..","..","..","78(2017)"
Most Recent Value,"(Most Recent Value)","American Samoa","ASM","..","..","..","76944(2014)","9144(2014)","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Andorra","AND","..","91.5674670273926(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Angola","AGO","5725.32723774516(2018)","14.3390793643794(2017)","..","1516628(2018)","13978(2018)","..","9.22377745371825(2017)","2.5(2013)","40(2017)"
Most Recent Value,"(Most Recent Value)","Antigua and Barbuda","ATG","23840.7298964163(2018)","76(2017)","..","580174.156834825(2018)","23206.966273393(2018)","..","..","..","73(2017)"
Most Recent Value,"(Most Recent Value)","Argentina","ARG","18288.2445989345(2018)","74.29490687(2017)","..","18081937(2018)","161688(2018)","..","10.9555014904363(2017)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Armenia","ARM","9177.74415916106(2018)","64.7448843250726(2017)","24.8(2017)","0(2014)","0(2014)","..","20.9117293657991(2018)","3.5(2013)","69(2017)"
Most Recent Value,"(Most Recent Value)","Aruba","ABW","35861.8281181686(2017)","97.17(2017)","..","274280(2018)","2276(2018)","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Australia","AUS","45377.755143006(2018)","86.54504885(2017)","1499.93653604606(2010)","75667645.0347507(2018)","665384(2018)","0.054648482520169(2016)","22.9858152961273(2018)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","Austria","AUT","46260.3823826199(2018)","87.4791372262556(2018)","12019.423(2017)","12935505(2018)","130260(2018)","..","25.3529226110252(2017)","..","79(2017)"
Most Recent Value,"(Most Recent Value)","Azerbaijan","AZE","16010.989036316(2018)","79.7999954887896(2018)","468.3(2018)","2279546(2018)","19960(2018)","6.38557579182856(2010)","13.1640455061148(2017)","2.5(2010)","65(2017)"
Most Recent Value,"(Most Recent Value)","Bahamas, The","BHS","28472.2004633762(2018)","85(2017)","..","1197116.19679215(2018)","56629.4566997085(2018)","51.4207431481606(2016)","14.7746307698499(2018)","..","75(2017)"
Most Recent Value,"(Most Recent Value)","Bahrain","BHR","41973.112933757(2018)","98.6446725799886(2018)","..","5877003(2018)","57094(2018)","..","..","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Bangladesh","BGD","3879.16152410685(2018)","15(2017)","10040(2016)","5984155.21211717(2018)","101383.465723099(2018)","..","8.76502765162342(2016)","2.5(2018)","48(2017)"
Most Recent Value,"(Most Recent Value)","Barbados","BRB","16463.5174338393(2018)","81.7607783931079(2017)","..","..","..","141.413895259761(2015)","25.335387874299(2015)","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Belarus","BLR","17741.8622306394(2018)","79.1298866919307(2018)","6215.3(2018)","2760168(2018)","31676(2018)","39.960153098796(2016)","13.0190056104974(2017)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Belgium","BEL","43582.1283959571(2018)","88.6550642753316(2018)","10710(2018)","13639487(2018)","140674(2018)","..","23.281691728001(2017)","..","84(2017)"
Most Recent Value,"(Most Recent Value)","Belize","BLZ","7673.65358698539(2018)","47.0826258036364(2017)","..","1297533.22307894(2018)","125681.690865347(2018)","78.4811739351877(2014)","26.3380070062918(2017)","..","64(2017)"
Most Recent Value,"(Most Recent Value)","Benin","BEN","2151.54316951218(2018)","20(2017)","..","899(2016)","10(2016)","..","..","3.5(2018)","40(2017)"
Most Recent Value,"(Most Recent Value)","Bermuda","BMU","50669.3147696996(2013)","98.37(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Bhutan","BTN","9207.69396768574(2018)","48.1064158774574(2017)","..","275849(2018)","5187(2018)","110.676901035735(2016)","12.4113874161075(2017)","4.5(2018)","62(2017)"
Most Recent Value,"(Most Recent Value)","Bolivia","BOL","6986.04648747244(2018)","44.2861421607887(2018)","..","4122113(2018)","56592(2018)","..","..","3(2015)","68(2017)"
Most Recent Value,"(Most Recent Value)","Bosnia and Herzegovina","BIH","12711.8397673642(2018)","70.1201350394885(2018)","30.435026(2018)","7071(2015)","81(2015)","52.8681146878044(2016)","20.4626926734868(2018)","3(2013)","61(2017)"
Most Recent Value,"(Most Recent Value)","Botswana","BWA","16518.2334062275(2018)","47(2017)","..","253417(2018)","6774(2018)","15.235498922983(2016)","19.5996597645212(2018)","..","61(2017)"
Most Recent Value,"(Most Recent Value)","Brazil","BRA","14282.7170075809(2018)","70.4342825404361(2018)","15807(2017)","102109977(2018)","832683(2018)","73.4436742456179(2016)","12.7047397240845(2017)","..","79(2017)"
Most Recent Value,"(Most Recent Value)","British Virgin Islands","VGB","..","77.7042682926829(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Brunei Darussalam","BRN","71802.2717197874(2018)","94.8666916411293(2017)","..","1234455(2018)","11310(2018)","..","..","..","81(2017)"
Most Recent Value,"(Most Recent Value)","Bulgaria","BGR","19320.7512338619(2018)","64.78201069118(2018)","1479.39(2018)","1022645(2018)","11435(2018)","..","20.0855244080461(2017)","..","66(2017)"
Most Recent Value,"(Most Recent Value)","Burkina Faso","BFA","1761.23475685076(2018)","16(2017)","..","151531(2018)","4270(2018)","..","17.1952325213861(2018)","3.5(2018)","40(2017)"
Most Recent Value,"(Most Recent Value)","Burundi","BDI","660.330341024828(2018)","2.6607485347534(2017)","..","..","..","..","..","1.5(2018)","42(2017)"
Most Recent Value,"(Most Recent Value)","Cabo Verde","CPV","6614.16708807108(2018)","57.16214635(2017)","..","140429(2018)","1546(2018)","..","20.0867526837254(2017)","4.5(2018)","69(2017)"
Most Recent Value,"(Most Recent Value)","Cambodia","KHM","3869.48918062972(2018)","40(2018)","..","1411059(2018)","14387(2018)","..","17.0520917620899(2018)","1.5(2018)","60(2017)"
Most Recent Value,"(Most Recent Value)","Cameroon","CMR","3358.59092400918(2018)","23.20297197(2017)","256872(2018)","265136(2018)","5550(2018)","..","12.2454523268794(2017)","2.5(2018)","46(2017)"
Most Recent Value,"(Most Recent Value)","Canada","CAN","44078.0655956361(2018)","91(2017)","1596.59(2018)","89380000(2018)","1475062.58618088(2018)","..","12.8440174757478(2018)","..","89(2017)"
Most Recent Value,"(Most Recent Value)","Cayman Islands","CYM","65995.8092143796(2017)","81.0676932508161(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Central African Republic","CAF","763.041199640587(2018)","4.33925494461827(2017)","..","..","..","..","7.01556261359055(2016)","2.5(2018)","33(2017)"
Most Recent Value,"(Most Recent Value)","Chad","TCD","1746.4820747796(2018)","6.49999811951501(2017)","..","28332(2014)","72(2014)","..","..","2.5(2018)","28(2017)"
Most Recent Value,"(Most Recent Value)","Channel Islands","CHI","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Chile","CHL","22873.8070144682(2018)","82.32748693(2017)","..","19517185(2018)","134661(2018)","..","18.2210574307074(2018)","..","70(2017)"
Most Recent Value,"(Most Recent Value)","China","CHN","16181.77771579(2018)","54.3(2017)","681203(2018)","611439830(2018)","4692008(2018)","..","9.20099956990515(2016)","..","79(2017)"
Most Recent Value,"(Most Recent Value)","Colombia","COL","13321.3278527342(2018)","64.1263768204459(2018)","..","33704037(2018)","358847(2018)","57.4056493415041(2016)","15.1946171715357(2017)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Comoros","COM","2585.11741350193(2018)","8.47817029542124(2017)","..","..","..","..","..","2.5(2018)","52(2017)"
Most Recent Value,"(Most Recent Value)","Congo, Dem. Rep.","COD","827.138253242804(2018)","8.61990491569355(2017)","29.514(2018)","932043.438522108(2018)","18612.1962447002(2018)","..","..","2(2018)","41(2017)"
Most Recent Value,"(Most Recent Value)","Congo, Rep.","COG","5024.08268595301(2018)","8.65(2017)","266.47(2012)","333899(2018)","8439(2018)","27.8758486938535(2010)","15.0774532074534(2016)","2(2018)","39(2017)"
Most Recent Value,"(Most Recent Value)","Costa Rica","CRI","15679.9805577504(2018)","74.0868022255159(2018)","..","1948546(2018)","39730(2018)","..","13.6841916711979(2018)","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Cote d'Ivoire","CIV","3733.047670155(2018)","46.8237270826283(2018)","..","779482(2018)","15188(2018)","..","16.1832133095476(2017)","3(2018)","47(2017)"
Most Recent Value,"(Most Recent Value)","Croatia","HRV","23664.1452291354(2018)","75.2946259897258(2018)","756(2018)","2093577(2018)","27189(2018)","..","21.5645760495773(2017)","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Cuba","CUB","..","57.14840432(2017)","..","560754.332(2018)","8733.666(2018)","..","..","..","83(2017)"
