Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","Control of Corruption: Estimate [CC.EST]","Government Effectiveness: Estimate [GE.EST]","Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST]","Regulatory Quality: Estimate [RQ.EST]","Rule of Law: Estimate [RL.EST]","Voice and Accountability: Estimate [VA.EST]"
Most Recent Value,"(Most Recent Value)","Afghanistan","AFG","-1.496648(2018)","-1.457285(2018)","-2.74673(2018)","-1.132634(2018)","-1.668478(2018)","-0.9947197(2018)"
Most Recent Value,"(Most Recent Value)","Albania","ALB","-0.5218667(2018)","0.114788(2018)","0.3821(2018)","0.2817102(2018)","-0.392243(2018)","0.2063695(2018)"
Most Recent Value,"(Most Recent Value)","Algeria","DZA","-0.636465(2018)","-0.4439246(2018)","-0.7937849(2018)","-1.263752(2018)","-0.7753089(2018)","-0.9809838(2018)"
Most Recent Value,"(Most Recent Value)","American Samoa","ASM","1.845534(2018)","0.5514148(2018)","1.205116(2018)","-0.2858895(2018)","1.363964(2018)","1.004767(2013)"
Most Recent Value,"(Most Recent Value)","Andorra","AND","1.238614(2018)","1.944976(2018)","1.425432(2018)","1.187921(2018)","1.607738(2018)","1.069589(2018)"
Most Recent Value,"(Most Recent Value)","Angola","AGO","-1.144541(2018)","-1.052086(2018)","-0.3190349(2018)","-0.999813(2018)","-1.048023(2018)","-0.9195936(2018)"
Most Recent Value,"(Most Recent Value)","Anguilla","AIA","1.238614(2018)","0.8301269(2018)","1.297391(2018)","0.8194681(2018)","-0.0986837(2018)","1.004767(2013)"
Most Recent Value,"(Most Recent Value)","Antigua and Barbuda","ATG","0.2766346(2018)","-0.0060096(2018)","0.7261432(2018)","0.411548(2018)","0.3933258(2018)","0.618535(2018)"
Most Recent Value,"(Most Recent Value)","Argentina","ARG","-0.0834675(2018)","0.0259878(2018)","0.0199319(2018)","-0.2430697(2018)","-0.2400078(2018)","0.5653015(2018)"
Most Recent Value,"(Most Recent Value)","Armenia","ARM","-0.3491127(2018)","-0.0243394(2018)","-0.4187803(2018)","0.2692558(2018)","-0.1500262(2018)","-0.1134583(2018)"
Most Recent Value,"(Most Recent Value)","Aruba","ABW","1.252027(2018)","1.058392(2018)","1.366119(2018)","0.853144(2018)","1.297575(2018)","1.305925(2018)"
Most Recent Value,"(Most Recent Value)","Australia","AUS","1.806201(2018)","1.596495(2018)","0.9765741(2018)","1.929283(2018)","1.715279(2018)","1.428148(2018)"
Most Recent Value,"(Most Recent Value)","Austria","AUT","1.596262(2018)","1.453342(2018)","0.9175232(2018)","1.544717(2018)","1.875834(2018)","1.380672(2018)"
Most Recent Value,"(Most Recent Value)","Azerbaijan","AZE","-0.8286031(2018)","-0.1004674(2018)","-0.6967331(2018)","-0.3807242(2018)","-0.6002176(2018)","-1.497994(2018)"
Most Recent Value,"(Most Recent Value)","Bahamas, The","BHS","1.131102(2018)","0.5391499(2018)","0.8721167(2018)","0.1511079(2018)","0.0969947(2018)","0.7956346(2018)"
Most Recent Value,"(Most Recent Value)","Bahrain","BHR","-0.1472867(2018)","0.1798774(2018)","-0.8404424(2018)","0.4460675(2018)","0.4127088(2018)","-1.405907(2018)"
Most Recent Value,"(Most Recent Value)","Bangladesh","BGD","-0.9050215(2018)","-0.7483993(2018)","-1.03248(2018)","-0.8262727(2018)","-0.6402364(2018)","-0.7284137(2018)"
Most Recent Value,"(Most Recent Value)","Barbados","BRB","1.411373(2018)","0.4269727(2018)","0.9214329(2018)","0.5401858(2018)","0.3949094(2018)","1.12459(2018)"
Most Recent Value,"(Most Recent Value)","Belarus","BLR","-0.1922756(2018)","-0.3010303(2018)","0.3535319(2018)","-0.6600578(2018)","-0.8329659(2018)","-1.350769(2018)"
Most Recent Value,"(Most Recent Value)","Belgium","BEL","1.510279(2018)","1.171748(2018)","0.412356(2018)","1.233861(2018)","1.3679(2018)","1.397253(2018)"
Most Recent Value,"(Most Recent Value)","Belize","BLZ","-0.138192(2018)","-0.5938884(2018)","0.0156727(2018)","-0.6593263(2018)","-0.823954(2018)","0.4507534(2018)"
Most Recent Value,"(Most Recent Value)","Benin","BEN","-0.3833744(2018)","-0.5659866(2018)","-0.132421(2018)","-0.3391147(2018)","-0.6751704(2018)","0.2674125(2018)"
Most Recent Value,"(Most Recent Value)","Bermuda","BMU","1.238614(2018)","1.387551(2018)","1.162025(2018)","0.8194681(2018)","0.8764146(2018)","1.004767(2013)"
Most Recent Value,"(Most Recent Value)","Bhutan","BTN","1.646514(2018)","0.3588973(2018)","1.104605(2018)","-0.3346259(2018)","0.5520926(2018)","0.0605407(2018)"
Most Recent Value,"(Most Recent Value)","Bolivia","BOL","-0.62591(2018)","-0.3220994(2018)","-0.2428411(2018)","-0.8945125(2018)","-1.14962(2018)","-0.0425873(2018)"
Most Recent Value,"(Most Recent Value)","Bosnia and Herzegovina","BIH","-0.5718023(2018)","-0.6185398(2018)","-0.3923242(2018)","-0.2064383(2018)","-0.2332111(2018)","-0.2435907(2018)"
Most Recent Value,"(Most Recent Value)","Botswana","BWA","0.7505108(2018)","0.3334411(2018)","0.9791562(2018)","0.454911(2018)","0.4664786(2018)","0.4747402(2018)"
Most Recent Value,"(Most Recent Value)","Brazil","BRA","-0.4196956(2018)","-0.4474374(2018)","-0.3570176(2018)","-0.3132748(2018)","-0.2776436(2018)","0.3885686(2018)"
Most Recent Value,"(Most Recent Value)","Brunei Darussalam","BRN","0.7953077(2018)","1.252714(2018)","1.201149(2018)","0.685179(2018)","0.6292501(2018)","-0.8432592(2018)"
Most Recent Value,"(Most Recent Value)","Bulgaria","BGR","-0.1515335(2018)","0.2718757(2018)","0.4196386(2018)","0.5765803(2018)","-0.029567(2018)","0.3233821(2018)"
Most Recent Value,"(Most Recent Value)","Burkina Faso","BFA","-0.112395(2018)","-0.5783429(2018)","-1.040907(2018)","-0.3863249(2018)","-0.4455683(2018)","-0.0432251(2018)"
Most Recent Value,"(Most Recent Value)","Burundi","BDI","-1.450633(2018)","-1.419982(2018)","-1.597951(2018)","-0.982583(2018)","-1.496611(2018)","-1.651565(2018)"
Most Recent Value,"(Most Recent Value)","Cabo Verde","CPV","0.7682196(2018)","0.3192393(2018)","0.7472337(2018)","-0.2411533(2018)","0.4454568(2018)","0.9977438(2018)"
Most Recent Value,"(Most Recent Value)","Cambodia","KHM","-1.325572(2018)","-0.568605(2018)","0.108229(2018)","-0.5049168(2018)","-1.114671(2018)","-1.221331(2018)"
Most Recent Value,"(Most Recent Value)","Cameroon","CMR","-1.149748(2018)","-0.7996525(2018)","-1.37598(2018)","-0.7993764(2018)","-1.079662(2018)","-1.104003(2018)"
Most Recent Value,"(Most Recent Value)","Canada","CAN","1.873514(2018)","1.716108(2018)","0.9911886(2018)","1.665293(2018)","1.770795(2018)","1.520857(2018)"
Most Recent Value,"(Most Recent Value)","Cayman Islands","CYM","0.4963436(2018)","1.204366(2018)","1.149285(2018)","0.9785166(2018)","0.7744462(2018)","0.4919728(2018)"
Most Recent Value,"(Most Recent Value)","Central African Republic","CAF","-1.233395(2018)","-1.720417(2018)","-2.281261(2018)","-1.367495(2018)","-1.687692(2018)","-1.188597(2018)"
Most Recent Value,"(Most Recent Value)","Chad","TCD","-1.410393(2018)","-1.528847(2018)","-1.478995(2018)","-1.112313(2018)","-1.305276(2018)","-1.45447(2018)"
Most Recent Value,"(Most Recent Value)","Chile","CHL","1.012118(2018)","1.084034(2018)","0.4252459(2018)","1.343512(2018)","1.115472(2018)","1.054925(2018)"
Most Recent Value,"(Most Recent Value)","China","CHN","-0.2712442(2018)","0.4771284(2018)","-0.2610621(2018)","-0.1350215(2018)","-0.2015748(2018)","-1.449377(2018)"
Most Recent Value,"(Most Recent Value)","Colombia","COL","-0.3014929(2018)","-0.0852262(2018)","-0.8133885(2018)","0.3277881(2018)","-0.4078089(2018)","0.1913842(2018)"
Most Recent Value,"(Most Recent Value)","Comoros","COM","-0.8164125(2018)","-1.639134(2018)","-0.2032647(2018)","-1.117265(2018)","-1.081078(2018)","-0.4373426(2018)"
Most Recent Value,"(Most Recent Value)","Congo, Dem. Rep.","COD","-1.503398(2018)","-1.554787(2018)","-2.116205(2018)","-1.474037(2018)","-1.784221(2018)","-1.512408(2018)"
Most Recent Value,"(Most Recent Value)","Congo, Rep.","COG","-1.358807(2018)","-1.217236(2018)","-0.4428181(2018)","-1.362082(2018)","-1.101223(2018)","-1.181061(2018)"
Most Recent Value,"(Most Recent Value)","Cook Islands","COK","-0.2186731(2013)","-0.9940472(2013)","1.322361(2010)","-1.159103(2013)","-0.9324356(2013)","-0.4640228(2013)"
Most Recent Value,"(Most Recent Value)","Costa Rica","CRI","0.5517608(2018)","0.3781868(2018)","0.4864345(2018)","0.479403(2018)","0.4787028(2018)","1.144658(2018)"
Most Recent Value,"(Most Recent Value)","Cote d'Ivoire","CIV","-0.4990963(2018)","-0.5705186(2018)","-0.9311823(2018)","-0.1907277(2018)","-0.5795925(2018)","-0.2161922(2018)"
Most Recent Value,"(Most Recent Value)","Croatia","HRV","0.1316391(2018)","0.4569183(2018)","0.7688776(2018)","0.4473468(2018)","0.324786(2018)","0.5019643(2018)"
Most Recent Value,"(Most Recent Value)","Cuba","CUB","0.1654153(2018)","-0.2448378(2018)","0.6523342(2018)","-1.455965(2018)","-0.4443496(2018)","-1.444819(2018)"
Most Recent Value,"(Most Recent Value)","Cyprus","CYP","0.6399662(2018)","0.9209022(2018)","0.543319(2018)","1.017323(2018)","0.7534632(2018)","1.038081(2018)"
Most Recent Value,"(Most Recent Value)","Czech Republic","CZE","0.5037321(2018)","0.9222081(2018)","1.040143(2018)","1.261501(2018)","1.04966(2018)","0.930312(2018)"
Most Recent Value,"(Most Recent Value)","Denmark","DNK","2.147795(2018)","1.871631(2018)","0.9590668(2018)","1.67705(2018)","1.833378(2018)","1.611797(2018)"
Most Recent Value,"(Most Recent Value)","Djibouti","DJI","-0.7168093(2018)","-0.8990966(2018)","-0.1341229(2018)","-0.7057354(2018)","-0.9226128(2018)","-1.352054(2018)"
Most Recent Value,"(Most Recent Value)","Dominica","DMA","0.5457337(2018)","-0.2895034(2018)","1.107935(2018)","0.0820731(2018)","0.6176011(2018)","0.8105155(2018)"
Most Recent Value,"(Most Recent Value)","Dominican Republic","DOM","-0.74949(2018)","-0.4002573(2018)","0.0347933(2018)","-0.0771244(2018)","-0.3962312(2018)","0.1374327(2018)"
Most Recent Value,"(Most Recent Value)","Ecuador","ECU","-0.5617972(2018)","-0.2613976(2018)","-0.0747498(2018)","-0.8901963(2018)","-0.6301615(2018)","0.0264112(2018)"
Most Recent Value,"(Most Recent Value)","Egypt, Arab Rep.","EGY","-0.5869341(2018)","-0.5848041(2018)","-1.164931(2018)","-0.8670051(2018)","-0.412311(2018)","-1.284183(2018)"
Most Recent Value,"(Most Recent Value)","El Salvador","SLV","-0.5911077(2018)","-0.4471425(2018)","-0.3348508(2018)","-0.0387822(2018)","-0.8247701(2018)","0.0418064(2018)"
Most Recent Value,"(Most Recent Value)","Equatorial Guinea","GNQ","-1.559684(2018)","-1.29438(2018)","-0.0511222(2018)","-1.557606(2018)","-1.41511(2018)","-1.864524(2018)"
